539124334.0,733708993.0,1.0,"[5, 1, 4, 3]"
366573256.0,867319701.0,1.0,"[5, 3, 4, 3]"
867319701.0,733708993.0,2.0,"[5, 3, 5, 6]"
197894654.0,539124334.0,2.0,"[5, 1, 1, 4]"
609014677.0,753374601.0,2.0,"[4, 1, 1, 4]"
753374601.0,609014677.0,2.0,"[4, 3, 1, 1]"
521106451.0,895391630.0,2.0,"[2, 2, 1, 5]"
895391630.0,521106451.0,2.0,"[5, 2, 4, 2]"
366573256.0,991664576.0,2.0,"[3, 3, 5, 1]"
991664576.0,366573256.0,2.0,"[2, 3, 2, 3]"
737718893.0,1330016483.0,2.0,"[2, 2, 5, 6]"
867319701.0,737718893.0,3.0,"[4, 2, 3, 1]"
737718893.0,867319701.0,3.0,"[3, 1, 3, 1]"
733708993.0,197894654.0,3.0,"[3, 1, 4, 6]"
609014677.0,895391630.0,3.0,"[4, 3, 3, 1]"
895391630.0,609014677.0,3.0,"[5, 3, 3, 6]"
539124334.0,753374601.0,3.0,"[4, 1, 4, 6]"
753374601.0,539124334.0,3.0,"[3, 1, 4, 6]"
521106451.0,991664576.0,3.0,"[3, 2, 5, 4]"
991664576.0,521106451.0,3.0,"[3, 3, 5, 5]"
366573256.0,1330016483.0,3.0,"[5, 3, 5, 2]"
1330016483.0,366573256.0,3.0,"[3, 3, 3, 5]"
733708993.0,895391630.0,4.0,"[5, 3, 4, 2]"
197894654.0,1330016483.0,4.0,"[3, 1, 3, 1]"
539124334.0,366573256.0,4.0,"[5, 2, 4, 1]"
521106451.0,737718893.0,4.0,"[5, 1, 4, 6]"
867319701.0,895391630.0,5.0,"[2, 1, 2, 5]"
895391630.0,867319701.0,5.0,"[5, 2, 2, 6]"
733708993.0,1140637373.0,5.0,"[2, 2, 2, 6]"
1140637373.0,733708993.0,5.0,"[4, 2, 1, 6]"
197894654.0,609014677.0,5.0,"[4, 3, 3, 6]"
539124334.0,5255827089.0,5.0,"[5, 1, 1, 6]"
521106451.0,753374601.0,5.0,"[5, 1, 2, 4]"
366573256.0,1841284301.0,5.0,"[4, 3, 5, 6]"
1841284301.0,366573256.0,5.0,"[1, 3, 1, 6]"
991664576.0,737718893.0,5.0,"[5, 3, 2, 6]"
867319701.0,1330016483.0,5.0,"[1, 2, 1, 6]"
1330016483.0,867319701.0,5.0,"[5, 2, 4, 5]"
